#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 HeI_4471        	 HeII_4686       	 OIII_5007       	 NII_5755        	 HeI_5876        	 SIII_6312       	 NII_6584        	 HeI_6678        	 SII_6717,31     	 ArIII_7135      	 OII_7325        	 SIII_9069      	source
6.9000000 	 -2.0000000 	 -4.0000000 	 0.1904000 	 0.1240000 	 0.0333000 	 0.0000000 	 0.0256000 	 0.0000000 	 0.0094000 	 0.0000000 	 0.0660000 	 3.1914000 	 0.0051000 	 0.0000000 	 0.0826000 	 0.0000000 	 0.0029000	AGN
6.9000000 	 -2.0000000 	 -3.7500000 	 0.1579000 	 0.1372000 	 0.0370000 	 0.0000000 	 0.0226000 	 0.0000000 	 0.0324000 	 0.0000000 	 0.0585000 	 3.1658000 	 0.0053000 	 0.0000000 	 0.0686000 	 0.0000000 	 0.0036000	AGN
6.9000000 	 -2.0000000 	 -3.5000000 	 0.1292000 	 0.1359000 	 0.0418000 	 0.0015000 	 0.0197000 	 0.0000000 	 0.0931000 	 0.0000000 	 0.0511000 	 3.1439000 	 0.0051000 	 0.0000000 	 0.0561000 	 0.0000000 	 0.0039000	AGN
6.9000000 	 -2.0000000 	 -3.2500000 	 0.1050000 	 0.1154000 	 0.0472000 	 0.0036000 	 0.0169000 	 0.0000000 	 0.1884000 	 0.0000000 	 0.0442000 	 3.1288000 	 0.0045000 	 0.0000000 	 0.0454000 	 0.0000000 	 0.0034000	AGN
6.9000000 	 -2.0000000 	 -3.0000000 	 0.0829000 	 0.0904000 	 0.0515000 	 0.0061000 	 0.0145000 	 0.0000000 	 0.2717000 	 0.0000000 	 0.0380000 	 3.1216000 	 0.0039000 	 0.0000000 	 0.0356000 	 0.0015000 	 0.0027000	AGN
6.9000000 	 -2.0000000 	 -2.7500000 	 0.0669000 	 0.0699000 	 0.0515000 	 0.0078000 	 0.0124000 	 0.0000000 	 0.3045000 	 0.0000000 	 0.0326000 	 3.1240000 	 0.0034000 	 0.0000000 	 0.0285000 	 0.0071000 	 0.0021000	AGN
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0563000 	 0.0552000 	 0.0466000 	 0.0081000 	 0.0106000 	 0.0013000 	 0.2829000 	 0.0000000 	 0.0279000 	 3.1349000 	 0.0031000 	 0.0000000 	 0.0238000 	 0.0157000 	 0.0000000	AGN
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0517000 	 0.0459000 	 0.0400000 	 0.0069000 	 0.0090000 	 0.0014000 	 0.2247000 	 0.0000000 	 0.0237000 	 3.1561000 	 0.0029000 	 0.0010000 	 0.0217000 	 0.0242000 	 0.0000000	AGN
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0517000 	 0.0414000 	 0.0347000 	 0.0048000 	 0.0078000 	 0.0011000 	 0.1536000 	 0.0000000 	 0.0204000 	 3.1907000 	 0.0029000 	 0.0033000 	 0.0216000 	 0.0276000 	 0.0000000	AGN
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0532000 	 0.0409000 	 0.0322000 	 0.0028000 	 0.0069000 	 0.0000000 	 0.0910000 	 0.0000000 	 0.0181000 	 3.2458000 	 0.0030000 	 0.0049000 	 0.0221000 	 0.0243000 	 0.0000000	AGN
